"athlete_id","finish_time","age_grading","event_num","event_year","event_month","event_day","actual_holiday","holiday_weekend","tutu","age","section","gender"
335,1150,68.09,1,2014,1,11,5,4,1,7,2,1
548,1151,68.72,1,2014,1,11,5,4,1,8,3,1
553,1168,66.27,1,2014,1,11,5,4,1,6,2,1
578,1186,65.35,1,2014,1,11,5,4,1,6,2,1
534,1189,68.88,1,2014,1,11,5,4,1,9,3,1
565,1208,70.94,1,2014,1,11,5,4,1,10,3,1
561,1226,67.29,1,2014,1,11,5,4,1,9,3,1
542,1293,69.61,1,2014,1,11,5,4,1,8,3,2
523,1306,62.25,1,2014,1,11,5,4,1,8,3,1
541,1307,68.09,1,2014,1,11,5,4,1,7,2,2
529,1384,56.86,1,2014,1,11,5,4,1,7,2,1
537,1389,63.93,1,2014,1,11,5,4,1,6,2,2
573,1410,56.1,1,2014,1,11,5,4,1,8,3,1
485,1411,63.15,1,2014,1,11,5,4,1,4,2,2
567,1471,54.86,1,2014,1,11,5,4,1,8,3,1
575,1493,60.08,1,2014,1,11,5,4,1,8,3,2
146,1520,54.08,1,2014,1,11,5,4,1,3,1,1
535,1526,54.46,1,2014,1,11,5,4,1,9,3,1
566,1562,57.62,1,2014,1,11,5,4,1,8,3,2
503,1567,49.39,1,2014,1,11,5,4,1,6,2,1
562,1572,58.72,1,2014,1,11,5,4,1,9,3,2
161,1591,54.75,1,2014,1,11,5,4,1,10,3,1
519,1598,51.25,1,2014,1,11,5,4,1,9,3,1
518,1604,55.36,1,2014,1,11,5,4,1,6,2,2
171,1641,54.36,1,2014,1,11,5,4,1,7,2,2
172,1642,47.69,1,2014,1,11,5,4,1,7,2,1
560,1648,53.88,1,2014,1,11,5,4,1,6,2,2
531,1675,60.06,1,2014,1,11,5,4,1,11,3,2
563,1678,54.71,1,2014,1,11,5,4,1,2,1,1
540,1680,49.88,1,2014,1,11,5,4,1,9,3,1
556,1731,49.91,1,2014,1,11,5,4,1,10,3,1
549,1731,54.71,1,2014,1,11,5,4,1,1,1,1
166,1741,53.42,1,2014,1,11,5,4,1,12,3,1
213,1769,60.37,1,2014,1,11,5,4,1,1,1,1
211,1819,45.35,1,2014,1,11,5,4,1,9,3,1
527,1826,48.63,1,2014,1,11,5,4,1,6,2,2
495,1838,48.8,1,2014,1,11,5,4,1,8,3,2
576,1840,48.26,1,2014,1,11,5,4,1,6,2,2
569,1963,45.24,1,2014,1,11,5,4,1,7,2,2
536,1979,39.11,1,2014,1,11,5,4,1,6,2,1
165,2035,55.63,1,2014,1,11,5,4,1,12,3,2
547,2089,42.51,1,2014,1,11,5,4,1,6,2,2
580,2135,42.72,1,2014,1,11,5,4,1,8,3,2
514,2193,42.09,1,2014,1,11,5,4,1,9,3,2
513,2195,40.73,1,2014,1,11,5,4,1,7,2,2
532,2199,45.2,1,2014,1,11,5,4,1,10,3,2
507,2199,45.75,1,2014,1,11,5,4,1,11,3,2
579,2203,37.31,1,2014,1,11,5,4,1,3,1,1
558,2205,38.59,1,2014,1,11,5,4,1,10,3,1
555,2301,42.68,1,2014,1,11,5,4,1,10,3,2
502,2410,36.85,1,2014,1,11,5,4,1,6,2,2
554,2418,35.19,1,2014,1,11,5,4,1,10,3,1
557,2419,37.54,1,2014,1,11,5,4,1,8,3,2
559,2615,44.82,1,2014,1,11,5,4,1,1,1,2
570,2616,34.1,1,2014,1,11,5,4,1,7,2,2
506,2790,32.54,1,2014,1,11,5,4,1,8,3,2
212,2984,34.32,1,2014,1,11,5,4,1,1,1,2
508,3344,29.07,1,2014,1,11,5,4,1,10,3,2
257,3511,30.13,1,2014,1,11,5,4,1,11,3,2
335,1161,67.44,2,2014,1,18,5,4,1,7,2,1
565,1169,73.31,2,2014,1,18,5,4,1,10,3,1
596,1211,63.91,2,2014,1,18,5,4,1,6,2,1
582,1231,66.04,2,2014,1,18,5,4,1,8,3,1
561,1255,65.74,2,2014,1,18,5,4,1,9,3,1
542,1272,70.75,2,2014,1,18,5,4,1,8,3,2
551,1277,71.89,2,2014,1,18,5,4,1,9,3,2
593,1339,71.25,2,2014,1,18,5,4,1,12,3,1
529,1355,58.08,2,2014,1,18,5,4,1,7,2,1
537,1394,63.7,2,2014,1,18,5,4,1,6,2,2
599,1411,56.41,2,2014,1,18,5,4,1,8,3,1
573,1427,55.78,2,2014,1,18,5,4,1,8,3,1
485,1436,62.05,2,2014,1,18,5,4,1,4,2,2
503,1539,50.29,2,2014,1,18,5,4,1,6,2,1
560,1586,55.99,2,2014,1,18,5,4,1,6,2,2
531,1652,60.9,2,2014,1,18,5,4,1,11,3,2
601,1715,46.41,2,2014,1,18,5,4,1,8,3,1
536,1883,41.1,2,2014,1,18,5,4,1,6,2,1
556,1919,45.02,2,2014,1,18,5,4,1,10,3,1
549,1920,49.32,2,2014,1,18,5,4,1,1,1,1
547,2032,43.7,2,2014,1,18,5,4,1,6,2,2
532,2059,48.28,2,2014,1,18,5,4,1,10,3,2
507,2059,48.86,2,2014,1,18,5,4,1,11,3,2
588,2114,42.01,2,2014,1,18,5,4,1,7,2,2
555,2133,46.04,2,2014,1,18,5,4,1,10,3,2
581,2171,42.84,2,2014,1,18,5,4,1,12,3,1
513,2178,41.05,2,2014,1,18,5,4,1,7,2,2
514,2197,42.01,2,2014,1,18,5,4,1,9,3,2
557,2351,38.62,2,2014,1,18,5,4,1,8,3,2
554,2353,36.17,2,2014,1,18,5,4,1,10,3,1
600,2452,40.7,2,2014,1,18,5,4,1,2,1,2
583,2453,33.63,2,2014,1,18,5,4,1,9,3,1
528,2539,35.13,2,2014,1,18,5,4,1,7,2,2
506,2553,35.57,2,2014,1,18,5,4,1,8,3,2
568,2769,32.5,2,2014,1,18,5,4,1,8,3,2
548,1093,72.37,3,2014,1,25,5,4,1,8,3,1
546,1174,71.38,3,2014,1,25,5,4,1,9,3,1
582,1199,67.81,3,2014,1,25,5,4,1,8,3,1
595,1273,60.8,3,2014,1,25,5,4,1,6,2,1
620,1281,65.89,3,2014,1,25,5,4,1,9,3,1
597,1332,65.92,3,2014,1,25,5,4,1,10,3,1
599,1349,59.01,3,2014,1,25,5,4,1,8,3,1
598,1401,66.38,3,2014,1,25,5,4,1,3,1,2
573,1402,56.78,3,2014,1,25,5,4,1,8,3,1
567,1434,56.28,3,2014,1,25,5,4,1,8,3,1
624,1451,60.51,3,2014,1,25,5,4,1,10,3,1
485,1480,60.2,3,2014,1,25,5,4,1,4,2,2
503,1480,52.3,3,2014,1,25,5,4,1,6,2,1
614,1515,54.06,3,2014,1,25,5,4,1,9,3,1
570,1592,56.03,3,2014,1,25,5,4,1,7,2,2
493,1607,49.84,3,2014,1,25,5,4,1,8,3,1
610,1660,54.94,3,2014,1,25,5,4,1,8,3,2
531,1660,60.6,3,2014,1,25,5,4,1,11,3,2
583,1692,48.76,3,2014,1,25,5,4,1,9,3,1
409,1701,47.8,3,2014,1,25,5,4,1,8,3,1
522,1731,53.73,3,2014,1,25,5,4,1,12,3,1
603,1764,50.34,3,2014,1,25,5,4,1,5,2,2
376,1766,50.28,3,2014,1,25,5,4,1,6,2,2
527,1770,50.17,3,2014,1,25,5,4,1,6,2,2
611,1778,43.53,3,2014,1,25,5,4,1,6,2,1
491,1798,50.06,3,2014,1,25,5,4,1,8,3,2
536,1805,42.88,3,2014,1,25,5,4,1,6,2,1
602,1824,48.68,3,2014,1,25,5,4,1,5,2,2
615,1830,46.5,3,2014,1,25,5,4,1,2,1,1
609,1832,48.47,3,2014,1,25,5,4,1,5,2,2
556,1837,47.03,3,2014,1,25,5,4,1,10,3,1
549,1838,51.52,3,2014,1,25,5,4,1,1,1,1
622,1967,47.64,3,2014,1,25,5,4,1,9,3,2
547,1967,45.14,3,2014,1,25,5,4,1,6,2,2
619,2039,43.55,3,2014,1,25,5,4,1,6,2,2
586,2102,44.24,3,2014,1,25,5,4,1,9,3,2
555,2125,46.21,3,2014,1,25,5,4,1,10,3,2
623,2132,41.7,3,2014,1,25,5,4,1,7,2,2
514,2158,42.77,3,2014,1,25,5,4,1,9,3,2
520,2164,49.54,3,2014,1,25,5,4,1,12,3,2
559,2213,50.88,3,2014,1,25,5,4,1,1,1,2
543,2214,42.01,3,2014,1,25,5,4,1,9,3,2
606,2258,39.5,3,2014,1,25,5,4,1,7,2,2
572,2320,38.53,3,2014,1,25,5,4,1,7,2,2
557,2333,38.92,3,2014,1,25,5,4,1,8,3,2
554,2333,36.48,3,2014,1,25,5,4,1,10,3,1
502,2416,36.75,3,2014,1,25,5,4,1,6,2,2
506,2504,36.26,3,2014,1,25,5,4,1,8,3,2
618,2892,31.54,3,2014,1,25,5,4,1,8,3,2
617,2893,27.89,3,2014,1,25,5,4,1,8,3,1
95,1161,67.44,4,2014,2,1,5,4,1,7,2,1
529,1342,58.64,4,2014,2,1,5,4,1,7,2,1
485,1390,64.1,4,2014,2,1,5,4,1,4,2,2
545,1415,54.84,4,2014,2,1,5,4,1,7,2,1
493,1431,55.97,4,2014,2,1,5,4,1,8,3,1
624,1436,61.14,4,2014,2,1,5,4,1,10,3,1
633,1467,60.74,4,2014,2,1,5,4,1,4,2,2
637,1505,56.54,4,2014,2,1,5,4,1,2,1,1
519,1538,53.25,4,2014,2,1,5,4,1,9,3,1
518,1544,57.51,4,2014,2,1,5,4,1,6,2,2
535,1560,53.27,4,2014,2,1,5,4,1,9,3,1
570,1567,56.92,4,2014,2,1,5,4,1,7,2,2
615,1578,53.93,4,2014,2,1,5,4,1,2,1,1
610,1599,57.04,4,2014,2,1,5,4,1,8,3,2
181,1661,56.95,4,2014,2,1,5,4,1,12,3,1
376,1663,53.4,4,2014,2,1,5,4,1,6,2,2
628,1665,57.54,4,2014,2,1,5,4,1,2,1,2
622,1665,56.28,4,2014,2,1,5,4,1,9,3,2
639,1717,48.4,4,2014,2,1,5,4,1,9,3,1
642,1741,51.52,4,2014,2,1,5,4,1,8,3,2
583,1748,47.2,4,2014,2,1,5,4,1,9,3,1
491,1751,51.4,4,2014,2,1,5,4,1,8,3,2
527,1757,50.54,4,2014,2,1,5,4,1,6,2,2
294,1812,59.16,4,2014,2,1,5,4,1,12,3,2
547,1853,47.92,4,2014,2,1,5,4,1,6,2,2
646,1918,46.3,4,2014,2,1,5,4,1,6,2,2
532,1945,51.11,4,2014,2,1,5,4,1,10,3,2
635,2027,59.99,4,2014,2,1,5,4,1,13,3,2
586,2036,45.68,4,2014,2,1,5,4,1,9,3,2
514,2105,43.85,4,2014,2,1,5,4,1,9,3,2
502,2166,41,4,2014,2,1,5,4,1,6,2,2
559,2177,51.72,4,2014,2,1,5,4,1,1,1,2
543,2178,42.7,4,2014,2,1,5,4,1,9,3,2
626,2470,36.32,4,2014,2,1,5,4,1,8,3,2
